phone_id,model,url,body_dimensions,body_weight,body_build,sim,display_type,display_size,resolution,protection,status_code,error_message
74,Narzo N63,https://www.gsmarena.com/realme_narzo_n63-13120.php,167.3 x 76.7 x 7.7 mm (6.59 x 3.02 x 0.30 in),189 g or 191 g (6.67 oz),"Glass front, plastic back or silicone polymer back (eco leather), plastic frame",Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 560 nits (peak)","6.75 inches, 110.0 cm2 (~85.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,200,
75,C63,https://www.gsmarena.com/realme_c63-13090.php,167.3 x 76.7 x 7.7 mm (6.59 x 3.02 x 0.30 in),189 g or 191 g (6.67 oz),"Glass front, plastic back or silicone polymer back (eco leather), plastic frame",Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 560 nits (HBM)","6.75 inches, 110.0 cm2 (~85.7% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,200,
76,Narzo N65,https://www.gsmarena.com/realme_narzo_n65-13047.php,165.6 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits (typ), 625 nits (HBM)","6.67 inches, 107.2 cm2 (~85.1% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
77,GT 6T,https://www.gsmarena.com/realme_gt_6t-13010.php,162 x 75.1 x 8.7 mm (6.38 x 2.96 x 0.34 in),191 g (6.74 oz),"Glass front (Gorilla Glass Victus 2), plastic frame, plastic back",Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 120Hz, HDR, 1000 nits (typ), 1600 nits (HBM), 6000 nits (peak)","6.78 inches, 111.7 cm2 (~91.8% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Corning Gorilla Glass Victus 2,200,
78,GT Neo6,https://www.gsmarena.com/realme_gt_neo6-12991.php,162 x 75.1 x 8.7 mm (6.38 x 2.96 x 0.34 in),191 g (6.74 oz),,Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 120Hz, HDR, 1600 nits (HBM), 6000 nits (peak)","6.78 inches, 111.7 cm2 (~91.8% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),,200,
79,C65 5G,https://www.gsmarena.com/realme_c65_5g-12963.php,165.6 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits (typ), 625 nits (HBM)","6.67 inches, 107.2 cm2 (~85.1% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
80,Narzo 70,https://www.gsmarena.com/realme_narzo_70-12955.php,163 x 75.5 x 8 mm (6.42 x 2.97 x 0.31 in),188 g (6.63 oz),,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 600 nits (HBM), 1200 nits (peak)","6.67 inches, 107.4 cm2 (~87.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
81,Narzo 70x,https://www.gsmarena.com/realme_narzo_70x-12954.php,165.6 x 76.1 x 7.7 mm (6.52 x 3.00 x 0.30 in),188 g (6.63 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 800 nits (typ), 950 nits (HBM)","6.72 inches, 109.0 cm2 (~86.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,200,
82,12 Lite,https://www.gsmarena.com/realme_12_lite-12947.php,164.6 x 75.4 x 7.6 mm (6.48 x 2.97 x 0.30 in),185 g (6.53 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 800 nits (typ), 950 nits (HBM)","6.72 inches, 109.0 cm2 (~87.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,200,
83,P1 Pro,https://www.gsmarena.com/realme_p1_pro-12935.php,161.5 x 74 x 8.4 mm (6.36 x 2.91 x 0.33 in),217 g (7.65 oz),,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 800 nits (HBM), 950 nits (peak)","6.7 inches, 108.0 cm2 (~90.4% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,200,
84,P1,https://www.gsmarena.com/realme_p1-12936.php,163 x 75.5 x 8 mm (6.42 x 2.97 x 0.31 in),188 g (6.63 oz),,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 600 nits (HBM), 1200 nits (peak)","6.67 inches, 107.4 cm2 (~87.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
85,GT Neo6 SE,https://www.gsmarena.com/realme_gt_neo6_se-12898.php,162 x 75.1 x 8.7 mm (6.38 x 2.96 x 0.34 in),191 g (6.74 oz),,Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 120Hz, HDR, 1600 nits (HBM), 6000 nits (peak)","6.78 inches, 111.7 cm2 (~91.8% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),,200,
86,12x (India),https://www.gsmarena.com/realme_12x_(india)-12914.php,165.6 x 76.1 x 7.7 mm (6.52 x 3.00 x 0.30 in),188 g (6.63 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 800 nits (typ), 950 nits (HBM)","6.72 inches, 109.0 cm2 (~86.5% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,200,
87,C65,https://www.gsmarena.com/realme_c65-12908.php,164.6 x 76.1 x 7.6 mm (6.48 x 3.00 x 0.30 in),185 g (6.53 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 500 nits (typ), 625 nits (HBM)","6.67 inches, 107.2 cm2 (~85.6% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
88,12x,https://www.gsmarena.com/realme_12x-12890.php,165.6 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 (typ), 625 nits (HBM)","6.67 inches, 107.2 cm2 (~85.1% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
89,Narzo 70 Pro,https://www.gsmarena.com/realme_narzo_70_pro-12878.php,163 x 75.5 x 8 mm (6.42 x 2.97 x 0.31 in),195 g (6.88 oz),"Glass front, plastic frame",Nano-SIM + Nano-SIM,"AMOLED, 120Hz, HDR10+, 600 nits (typ), 2000 nits (peak)","6.67 inches, 107.4 cm2 (~87.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
90,C51s,https://www.gsmarena.com/realme_c51s-13130.php,167.2 x 76.7 x 7.5 mm (6.58 x 3.02 x 0.30 in),182 g (6.42 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 560 nits (peak)","6.74 inches, 109.7 cm2 (~85.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,200,
