ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
126,"Mi Mix Alpha",https://www.gsmarena.com/xiaomi_mi_mix_alpha-9893.php,N/A,N/A,2088x2250,7.92",N/A,FAILED,2025-12-15 20:17:31
127,"Mi Mix Fold",https://www.gsmarena.com/xiaomi_mi_mix_fold-10817.php,4:3,198.69,1860x2480,8.01",N/A,SUCCESS,2025-12-15 20:18:32
128,"Mi Note",https://www.gsmarena.com/xiaomi_mi_note-6944.php,16:9,89.57,1080x1920,5.7",N/A,SUCCESS,2025-12-15 20:19:33
129,"Mi Note 10",https://www.gsmarena.com/xiaomi_mi_note_10-9936.php,19.5:9,102.76,1080x2340,6.47",N/A,SUCCESS,2025-12-15 20:20:34
130,"Mi Note 10 Lite",https://www.gsmarena.com/xiaomi_mi_note_10_lite-10183.php,19.5:9,102.76,1080x2340,6.47",N/A,SUCCESS,2025-12-15 20:21:35
131,"Mi Note 10 Pro",https://www.gsmarena.com/xiaomi_mi_note_10_pro-9945.php,19.5:9,102.76,1080x2340,6.47",N/A,SUCCESS,2025-12-15 20:22:37
132,"Mi Note 2",https://www.gsmarena.com/xiaomi_mi_note_2-8014.php,16:9,89.57,1080x1920,5.7",N/A,SUCCESS,2025-12-15 20:23:38
133,"Mi Note 3",https://www.gsmarena.com/xiaomi_mi_note_3-8707.php,16:9,83.39,1080x1920,5.5",N/A,SUCCESS,2025-12-15 20:24:39
134,"Mi Note Plus",https://www.gsmarena.com/xiaomi_mi_note_plus-6960.php,16:9,89.57,1440x2560,5.7",N/A,SUCCESS,2025-12-15 20:25:47
135,"Mi Note Pro",https://www.gsmarena.com/xiaomi_mi_note_pro-6952.php,16:9,89.57,1440x2560,5.7",N/A,SUCCESS,2025-12-15 20:26:48
136,"Mi Play",https://www.gsmarena.com/xiaomi_mi_play-9499.php,19:9,85.13,1080x2280,5.84",N/A,SUCCESS,2025-12-15 20:27:49
137,"Mix 4",https://www.gsmarena.com/xiaomi_mix_4-11040.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 20:28:50
138,"Mix Flip",https://www.gsmarena.com/xiaomi_mix_flip-13221.php,21:20,151.62,1224x2912,6.86",N/A,SUCCESS,2025-12-15 20:29:52
139,"Mix Flip 2",https://www.gsmarena.com/xiaomi_mix_flip_2_5g-13980.php,N/A,N/A,1224x2912,6.86",N/A,FAILED,2025-12-15 20:30:53
140,"Mix Fold 2",https://www.gsmarena.com/xiaomi_mix_fold_2-11758.php,21:9,150.25,1914x2160,8.02",N/A,SUCCESS,2025-12-15 20:31:54
141,"Mix Fold 3",https://www.gsmarena.com/xiaomi_mix_fold_3-12468.php,21:9,150.62,1916x2160,8.03",N/A,SUCCESS,2025-12-15 20:32:55
142,"Mix Fold 4",https://www.gsmarena.com/xiaomi_mix_fold_4-13222.php,21:9,148.75,2224x2488,7.98",N/A,SUCCESS,2025-12-15 20:33:56
143,"Poco C3",https://www.gsmarena.com/xiaomi_poco_c3-10482.php,20:9,99.82,720x1600,6.43",N/A,SUCCESS,2025-12-15 20:34:57
144,"Poco C31",https://www.gsmarena.com/xiaomi_poco_c31-11134.php,20:9,102.95,720x1600,6.53",N/A,SUCCESS,2025-12-15 20:35:59
145,"Poco C40",https://www.gsmarena.com/xiaomi_poco_c40-11468.php,N/A,N/A,720x1650,6.71",N/A,FAILED,2025-12-15 20:37:00
146,"Poco C50",https://www.gsmarena.com/xiaomi_poco_c50-12053.php,20:9,102.63,720x1600,6.52",N/A,SUCCESS,2025-12-15 20:38:01
147,"Poco C51",https://www.gsmarena.com/xiaomi_poco_c51-12215.php,20:9,102.63,720x1600,6.52",N/A,SUCCESS,2025-12-15 20:39:02
148,"Poco C55",https://www.gsmarena.com/xiaomi_poco_c55-12126.php,N/A,N/A,720x1650,6.71",N/A,FAILED,2025-12-15 20:40:03
149,"Poco C61",https://www.gsmarena.com/xiaomi_poco_c61-12886.php,N/A,N/A,720x1650,6.71",N/A,FAILED,2025-12-15 20:41:04
150,"Poco C65",https://www.gsmarena.com/xiaomi_poco_c65-12684.php,20:9,109.68,720x1600,6.74",N/A,SUCCESS,2025-12-15 20:42:06
151,"Poco C71",https://www.gsmarena.com/xiaomi_poco_c71_4g-13767.php,N/A,N/A,720x1640,6.88",N/A,FAILED,2025-12-15 20:43:07
152,"Poco C75",https://www.gsmarena.com/xiaomi_poco_c75-13435.php,N/A,N/A,720x1640,6.88",N/A,FAILED,2025-12-15 20:44:08
153,"Poco C75 5G",https://www.gsmarena.com/xiaomi_poco_c75_5g-13571.php,N/A,N/A,720x1640,6.88",N/A,FAILED,2025-12-15 20:45:09
154,"Poco C85 4G",https://www.gsmarena.com/xiaomi_poco_c85-14110.php,20:9,114.95,720x1600,6.9",N/A,SUCCESS,2025-12-15 20:46:10
155,"Poco C85",https://www.gsmarena.com/xiaomi_poco_c85_5g-14337.php,20:9,114.95,720x1600,6.9",N/A,SUCCESS,2025-12-15 20:47:11
156,"Poco F2 Pro",https://www.gsmarena.com/xiaomi_poco_f2_pro-10220.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 20:48:13
157,"Poco F3",https://www.gsmarena.com/xiaomi_poco_f3-10758.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 20:49:14
158,"Poco F3 GT",https://www.gsmarena.com/xiaomi_poco_f3_gt-10886.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 20:50:15
159,"Poco F4",https://www.gsmarena.com/xiaomi_poco_f4-11627.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 20:51:16
160,"Poco F4 GT",https://www.gsmarena.com/xiaomi_poco_f4_gt-11479.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 20:52:17
161,"Poco F5",https://www.gsmarena.com/xiaomi_poco_f5-12258.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 20:53:19
162,"Poco F5 Pro",https://www.gsmarena.com/xiaomi_poco_f5_pro-12257.php,20:9,107.41,1440x3200,6.67",N/A,SUCCESS,2025-12-15 20:54:20
163,"Poco F6",https://www.gsmarena.com/xiaomi_poco_f6-13000.php,20:9,107.41,1220x2712,6.67",N/A,SUCCESS,2025-12-15 20:55:21
164,"Poco F6 Pro",https://www.gsmarena.com/xiaomi_poco_f6_pro-12992.php,20:9,107.41,1440x3200,6.67",N/A,SUCCESS,2025-12-15 20:56:22
